description,url,sheet,cell
Match Facts (MA9),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-match-facts.htm,DATA FEED + BUNDLE OVERVIEW,E52
Match Facts All (MA16),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-match-facts-all.htm,DATA FEED + BUNDLE OVERVIEW,E53
NLG Match Preview (MA22),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-nlg-match-preview.htm,DATA FEED + BUNDLE OVERVIEW,E54
NLG Match Recap (MA26),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-nlg-match-recap.htm,DATA FEED + BUNDLE OVERVIEW,E55
NLG Dynamic Player Bios (PE9),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-nlg-dynamic-player-bios.htm,DATA FEED + BUNDLE OVERVIEW,E56
Match Facts Betting (MA15),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-automated-betting-facts.html,DATA FEED + BUNDLE OVERVIEW,E57
Automated Insights (MA23),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-automated-insights.htm,DATA FEED + BUNDLE OVERVIEW,E58
Shape Remote (MA34),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-shape-broadcast.html,DATA FEED + BUNDLE OVERVIEW,E59
Enriched Soccer Events Remote (MA35),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-enriched-soccer-events-broadcast.htm,DATA FEED + BUNDLE OVERVIEW,E60
Remote Aggregated Events (MA39),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-remote-aggregated-events.htm,DATA FEED + BUNDLE OVERVIEW,E61
Remote Pressure Timelines (MA41),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-remote-pressure-timelines.htm,DATA FEED + BUNDLE OVERVIEW,E62
Remote Aggregated Fitness (MA44),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-remote-aggregated-fitness.htm,DATA FEED + BUNDLE OVERVIEW,E63
Match Possession Value (MA30),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-match-possession-value.html,DATA FEED + BUNDLE OVERVIEW,E64
Match Events Possession Value (MA32),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-match-events-possession-value.html,DATA FEED + BUNDLE OVERVIEW,E65
Player Possession Value (PE10),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-player-possession.htm,DATA FEED + BUNDLE OVERVIEW,E66
Match Playtime (MA43),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-match-playtime.htm,DATA FEED + BUNDLE OVERVIEW,E67
Season Playtime (TM17),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-season-playtime.htm,DATA FEED + BUNDLE OVERVIEW,E68
TV Listing (MA31),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-tv-listing.htm,DATA FEED + BUNDLE OVERVIEW,E69
Tournament Calendar (OT2),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-tournament-calendars.htm,DATA FEED + BUNDLE OVERVIEW,E7
Contestant Participation (TM16),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-contestant-participation.htm,DATA FEED + BUNDLE OVERVIEW,E70
Injuries (PE7),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-injuries.htm,DATA FEED + BUNDLE OVERVIEW,E71
Suspensions (PE8),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-suspensions.htm,DATA FEED + BUNDLE OVERVIEW,E72
Match Provisional LineUps (MA46),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-match-provisional-linup.htm,DATA FEED + BUNDLE OVERVIEW,E73
Match Momentum (MA27),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-match-momentum.htm,DATA FEED + BUNDLE OVERVIEW,E74
Live Win Probability (MA21),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-live-win-probability.htm,DATA FEED + BUNDLE OVERVIEW,E75
Match Player Ratings (MA20),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-match-player-ratings.htm,DATA FEED + BUNDLE OVERVIEW,E76
Season Player Ratings (TM10),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-season-player-ratings.htm,DATA FEED + BUNDLE OVERVIEW,E77
Live Action Widget (V3 widget portal with instructions),http://widget.cloud.opta.net/helper/v3/,DATA FEED + BUNDLE OVERVIEW,E78
Tournament Schedule (MA0),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-tournament-schedule.htm,DATA FEED + BUNDLE OVERVIEW,E8
Fixtures And Results (MA1),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-fixtures-and-results.htm,DATA FEED + BUNDLE OVERVIEW,E9
Shortened link,https://t.ly/9gti-,DATA FEED + BUNDLE OVERVIEW,G10
Shortened link,https://rb.gy/e7p1kg,DATA FEED + BUNDLE OVERVIEW,G15
Shortened link,https://rb.gy/1ypckj,DATA FEED + BUNDLE OVERVIEW,G30
Shortened link,https://rb.gy/whdltu,DATA FEED + BUNDLE OVERVIEW,G9
